tweet_url,author_name,author_id,text,created_at,reply_to,retweet_from,like_count,reply_count,retweet_count,photo,video,link
https://twitter.com/VW/status/677238454585987072,Volkswagen,@VW,"@CassieHannon Thanks for getting in touch, Cassie! You can find contact info at http://media.vw.com/contacts.htm.",2015-12-16T21:26:44.000Z,@CassieHannon,,1,,,false,false,true
https://twitter.com/VW/status/677238450278428672,Volkswagen,@VW,@TheRhysma We always look for ways to help our drivers. Please DM us your VIN and email address so we can look further into this #VWCares,2015-12-16T21:26:43.000Z,@TheRhysma,,,1,,false,false,false
https://twitter.com/VW/status/677237613019791360,Volkswagen,@VW,@CornelivsW Good question! The numbers indicate how far you have to go until it’s time for your service. #VWCares,2015-12-16T21:23:24.000Z,,,,,1,false,false,false
https://twitter.com/VW/status/677237608750039040,Volkswagen,@VW,"@alleycats4u Thank you, Stephanie. One of our colleagues will reach out to you soon.",2015-12-16T21:23:23.000Z,@EatAtlantallc,,,,1,false,false,false
https://twitter.com/VW/status/677237607185571840,Volkswagen,@VW,@IamSuperFrankie We’re sorry to hear this happened. You can reach out to VW Credit at 800-428-4034. They will be happy to assist you.,2015-12-16T21:23:22.000Z,@IamSuperFrankie,,,,,false,false,false
https://twitter.com/VW/status/677207636853456896,Volkswagen,@VW,@CarolGuttery We’re sorry to hear of that. Try http://vw.com/contact and you can Live Chat with us right away or even drop us an email.,2015-12-16T19:24:17.000Z,@CarolGuttery,,,,1,false,false,true
https://twitter.com/VW/status/677177198017572864,Volkswagen,@VW,@DAmaya1012 DM us your email address and we’ll gladly reach out to you to make it happen. #VWCares,2015-12-16T17:23:20.000Z,@DAmaya1012,,,,1,false,false,false
https://twitter.com/VW/status/677177196151091200,Volkswagen,@VW,"@DAmaya1012 Congratulations on your achievement, David! We’d love to send you something to commemorate the occasion.",2015-12-16T17:23:19.000Z,@DAmaya1012,,1,,,false,false,false
https://twitter.com/VW/status/677177193085009920,Volkswagen,@VW,@CornelivsW This indicator usually means it is time for service. We recommend making an appointment with your local VW dealership. #VWCares,2015-12-16T17:23:18.000Z,,,,2,1,false,false,false
https://twitter.com/VW/status/677159732608503809,Volkswagen,@VW,"@the_gar_spot Thanks for reaching out to us; we appreciate your feedback! If you’d like to talk more, please give us a call at 800-822-8987.",2015-12-16T16:13:55.000Z,@GarMcVeyRussell,,,,,false,false,false
https://twitter.com/VW/status/677152611640807426,Volkswagen,@VW,"@dnp1015 In the meantime, if you questions, please call us at 800-822-8987.",2015-12-16T15:45:38.000Z,@dnp1015,,,,,false,false,false
https://twitter.com/VW/status/677152609816326145,Volkswagen,@VW,@dnp1015 We see you’re working with our Customer Care team. We’ll be reaching out to you today to talk more.,2015-12-16T15:45:37.000Z,@dnp1015,,,1,,false,false,false
https://twitter.com/VW/status/677138609598676993,Volkswagen,@VW,"@PS3GAMER1997 Cool pic, Will! Thanks for sharing! #VWCares",2015-12-16T14:49:59.000Z,,,,,,false,false,false
https://twitter.com/VW/status/677138607975436288,Volkswagen,@VW,"@katiek485 We’re glad to hear it, Kate! Congratulations and happy driving! #VWCares",2015-12-16T14:49:59.000Z,,,,,,false,false,false
https://twitter.com/VW/status/677138604682969088,Volkswagen,@VW,@aaronjblack90 Please feel free to reach out to us again if you’d like to discuss your case further. We’re always listening.,2015-12-16T14:49:58.000Z,@aaronjblack90,,,,,false,false,false
https://twitter.com/VW/status/677135956353277952,Volkswagen,@VW,@aaronjblack90 We see you’ve already spoken with our colleagues about your concerns and we regret we were unable to meet your expectations.,2015-12-16T14:39:27.000Z,@aaronjblack90,,,,,false,false,false
https://twitter.com/VW/status/676846364064518146,Volkswagen,@VW,@ospunx We’d like to look further into this to see how we could help. Please DM us your VIN and email address and we’ll follow up. #VWCares,2015-12-15T19:28:43.000Z,@ospunx,,1,1,1,false,false,false
